_raw,host,index,source,sourcetype
"2012-05-30 02:47:17 UTC view=""Hosts and Clusters"" isvc=""true"" vc=""VL-VCENTER41"" path=""/VL-VCENTER41/Folder above DC2/DC2/Folder below DC2/vl-vcenter41-esxi4.1cluster2/Resources/"" Datacenter=""DC2"" Cluster=""vl-vcenter41-esxi4.1cluster2"" HostSystem=""10.160.14.52"" physicalhost=""10.160.14.52"" datacentermoid=""datacenter-71"" clustermoid=""domain-c213"" hostsystemmoid=""host-63"" meid=""vc-942ABEB2-CAD4-4B35-9EB2-9C23AC160FC1:vm-398"" instanceUuid=""502d6af2-3384-e71d-c820-eb9f05712a34"" uuid=""422d09d8-48dc-aa8c-4f4b-0e8b07af5ec8"" typeduipath=""/Folder:VL-VCENTER41/Folder:Folder above DC2/Datacenter:DC2/Folder:Folder below DC2/ClusterComputeResource:vl-vcenter41-esxi4.1cluster2/"" uipath=""/VL-VCENTER41/Folder above DC2/DC2/Folder below DC2/vl-vcenter41-esxi4.1cluster2/"" moid=""vm-398"" type=""VirtualMachine"" name=""io-qa-dummy"" fa=""splunkvmwarefa""",VL-VCENTER41,vmware,EntityViews,vmware:hierarchy
"2012-05-30 02:47:17 UTC view=""Hosts and Clusters"" isvc=""true"" vc=""VL-VCENTER41"" path=""/VL-VCENTER41/Folder above DC2/DC2/Folder below DC2/vl-vcenter41-esxi4.1cluster2/Resources/"" Datacenter=""DC2"" Cluster=""vl-vcenter41-esxi4.1cluster2"" HostSystem=""10.160.14.52"" physicalhost=""10.160.14.52"" datacentermoid=""datacenter-71"" clustermoid=""domain-c213"" hostsystemmoid=""host-63"" meid=""vc-942ABEB2-CAD4-4B35-9EB2-9C23AC160FC1:vm-395"" instanceUuid=""502d73e9-17dc-65b6-a562-d08ac77865b8"" uuid=""422dcfe6-9625-be95-aafe-eba1a56bab4f"" typeduipath=""/Folder:VL-VCENTER41/Folder:Folder above DC2/Datacenter:DC2/Folder:Folder below DC2/ClusterComputeResource:vl-vcenter41-esxi4.1cluster2/"" uipath=""/VL-VCENTER41/Folder above DC2/DC2/Folder below DC2/vl-vcenter41-esxi4.1cluster2/"" moid=""vm-395"" type=""VirtualMachine"" name=""rrtestipaddresses"" fa=""splunkvmwarefa""",VL-VCENTER41,vmware,EntityViews,vmware:hierarchy
"2012-05-30 02:47:17 UTC view=""Hosts and Clusters"" isvc=""true"" vc=""VL-VCENTER41"" path=""/VL-VCENTER41/Folder above DC2/DC2/Folder below DC2/vl-vcenter41-esxi4.1cluster2/Resources/"" Datacenter=""DC2"" Cluster=""vl-vcenter41-esxi4.1cluster2"" HostSystem=""10.160.14.52"" physicalhost=""10.160.14.52"" datacentermoid=""datacenter-71"" clustermoid=""domain-c213"" hostsystemmoid=""host-63"" meid=""vc-942ABEB2-CAD4-4B35-9EB2-9C23AC160FC1:vm-393"" instanceUuid=""502dc314-12f5-f6c9-c673-248c0cc0171a"" uuid=""422d73d4-1557-c837-0fb4-7a163775f2db"" typeduipath=""/Folder:VL-VCENTER41/Folder:Folder above DC2/Datacenter:DC2/Folder:Folder below DC2/ClusterComputeResource:vl-vcenter41-esxi4.1cluster2/"" uipath=""/VL-VCENTER41/Folder above DC2/DC2/Folder below DC2/vl-vcenter41-esxi4.1cluster2/"" moid=""vm-393"" type=""VirtualMachine"" name=""Jie's Dual-core Ubuntu 11.10 64bit"" fa=""splunkvmwarefa""",VL-VCENTER41,vmware,EntityViews,vmware:hierarchy
"2012-05-30 02:47:17 UTC view=""Hosts and Clusters"" isvc=""true"" vc=""VL-VCENTER41"" path=""/VL-VCENTER41/Folder above DC2/DC2/Folder below DC2/vl-vcenter41-esxi4.1cluster2/Resources/"" Datacenter=""DC2"" Cluster=""vl-vcenter41-esxi4.1cluster2"" HostSystem=""10.160.14.52"" physicalhost=""10.160.14.52"" datacentermoid=""datacenter-71"" clustermoid=""domain-c213"" hostsystemmoid=""host-63"" meid=""vc-942ABEB2-CAD4-4B35-9EB2-9C23AC160FC1:vm-262"" instanceUuid=""502d3348-0165-b3b0-492e-4e808b9cfc86"" uuid=""422d6ed8-7a36-dd85-973b-027a49644198"" typeduipath=""/Folder:VL-VCENTER41/Folder:Folder above DC2/Datacenter:DC2/Folder:Folder below DC2/ClusterComputeResource:vl-vcenter41-esxi4.1cluster2/"" uipath=""/VL-VCENTER41/Folder above DC2/DC2/Folder below DC2/vl-vcenter41-esxi4.1cluster2/"" moid=""vm-262"" type=""VirtualMachine"" name=""rrnewfafirewall"" fa=""splunkvmwarefa""",VL-VCENTER41,vmware,EntityViews,vmware:hierarchy
"2012-05-30 02:47:17 UTC view=""Hosts and Clusters"" isvc=""true"" vc=""VL-VCENTER41"" path=""/VL-VCENTER41/Folder above DC2/DC2/Folder below DC2/vl-vcenter41-esxi4.1cluster2/Resources/"" Datacenter=""DC2"" Cluster=""vl-vcenter41-esxi4.1cluster2"" HostSystem=""10.160.14.52"" physicalhost=""10.160.14.52"" datacentermoid=""datacenter-71"" clustermoid=""domain-c213"" hostsystemmoid=""host-63"" meid=""vc-942ABEB2-CAD4-4B35-9EB2-9C23AC160FC1:vm-121"" instanceUuid=""52337ee2-59bb-5612-cc87-cb798ff5f926"" uuid=""564d5f40-b773-d891-5ea5-8645f091819b"" typeduipath=""/Folder:VL-VCENTER41/Folder:Folder above DC2/Datacenter:DC2/Folder:Folder below DC2/ClusterComputeResource:vl-vcenter41-esxi4.1cluster2/"" uipath=""/VL-VCENTER41/Folder above DC2/DC2/Folder below DC2/vl-vcenter41-esxi4.1cluster2/"" moid=""vm-121"" type=""VirtualMachine"" name=""sol1_ubuntu"" fa=""splunkvmwarefa""",VL-VCENTER41,vmware,EntityViews,vmware:hierarchy
"2012-05-30 02:47:16 UTC view=""Hosts and Clusters"" isvc=""true"" vc=""VL-VCENTER41"" path=""/VL-VCENTER41/Folder above DC2/DC2/Folder below DC2/vl-vcenter41-esxi4.1cluster2/Resources/"" Datacenter=""DC2"" Cluster=""vl-vcenter41-esxi4.1cluster2"" HostSystem=""10.160.14.52"" physicalhost=""10.160.14.52"" datacentermoid=""datacenter-71"" clustermoid=""domain-c213"" hostsystemmoid=""host-63"" meid=""vc-942ABEB2-CAD4-4B35-9EB2-9C23AC160FC1:vm-120"" instanceUuid=""500146f5-c209-95cd-8299-f3767450fa3a"" uuid=""42016d67-01b6-3082-03dc-7a578638bbb6"" typeduipath=""/Folder:VL-VCENTER41/Folder:Folder above DC2/Datacenter:DC2/Folder:Folder below DC2/ClusterComputeResource:vl-vcenter41-esxi4.1cluster2/"" uipath=""/VL-VCENTER41/Folder above DC2/DC2/Folder below DC2/vl-vcenter41-esxi4.1cluster2/"" moid=""vm-120"" type=""VirtualMachine"" name=""ubsv-ninja1"" fa=""splunkvmwarefa""",VL-VCENTER41,vmware,EntityViews,vmware:hierarchy
"2012-05-30 02:47:16 UTC view=""Hosts and Clusters"" isvc=""true"" vc=""VL-VCENTER41"" path=""/VL-VCENTER41/Folder above DC2/DC2/Folder below DC2/vl-vcenter41-esxi4.1cluster2/Resources/"" Datacenter=""DC2"" Cluster=""vl-vcenter41-esxi4.1cluster2"" HostSystem=""10.160.14.52"" physicalhost=""10.160.14.52"" datacentermoid=""datacenter-71"" clustermoid=""domain-c213"" hostsystemmoid=""host-63"" meid=""vc-942ABEB2-CAD4-4B35-9EB2-9C23AC160FC1:vm-118"" instanceUuid=""500185ee-3671-8142-e515-b51adbc5034e"" uuid=""42018e32-fc33-799b-736c-f266d14f620f"" typeduipath=""/Folder:VL-VCENTER41/Folder:Folder above DC2/Datacenter:DC2/Folder:Folder below DC2/ClusterComputeResource:vl-vcenter41-esxi4.1cluster2/"" uipath=""/VL-VCENTER41/Folder above DC2/DC2/Folder below DC2/vl-vcenter41-esxi4.1cluster2/"" moid=""vm-118"" type=""VirtualMachine"" name=""ubsv-ninja2"" fa=""splunkvmwarefa""",VL-VCENTER41,vmware,EntityViews,vmware:hierarchy
"2012-05-30 02:47:16 UTC view=""Hosts and Clusters"" isvc=""true"" vc=""VL-VCENTER41"" path=""/VL-VCENTER41/Folder above DC2/DC2/Folder below DC2/vl-vcenter41-esxi4.1cluster2/Resources/"" Datacenter=""DC2"" Cluster=""vl-vcenter41-esxi4.1cluster2"" HostSystem=""10.160.14.52"" physicalhost=""10.160.14.52"" datacentermoid=""datacenter-71"" clustermoid=""domain-c213"" hostsystemmoid=""host-63"" meid=""vc-942ABEB2-CAD4-4B35-9EB2-9C23AC160FC1:vm-116"" instanceUuid=""5001b658-7ccf-bae9-0a8f-8733501c7943"" uuid=""42014a62-3189-a823-00dc-95f0c162e17f"" typeduipath=""/Folder:VL-VCENTER41/Folder:Folder above DC2/Datacenter:DC2/Folder:Folder below DC2/ClusterComputeResource:vl-vcenter41-esxi4.1cluster2/"" uipath=""/VL-VCENTER41/Folder above DC2/DC2/Folder below DC2/vl-vcenter41-esxi4.1cluster2/"" moid=""vm-116"" type=""VirtualMachine"" name=""winsv-neo1"" fa=""splunkvmwarefa""",VL-VCENTER41,vmware,EntityViews,vmware:hierarchy
"2012-05-30 02:47:16 UTC view=""Hosts and Clusters"" isvc=""true"" vc=""VL-VCENTER41"" path=""/VL-VCENTER41/Folder above DC2/DC2/Folder below DC2/vl-vcenter41-esxi4.1cluster2/Resources/"" Datacenter=""DC2"" Cluster=""vl-vcenter41-esxi4.1cluster2"" HostSystem=""10.160.14.52"" physicalhost=""10.160.14.52"" datacentermoid=""datacenter-71"" clustermoid=""domain-c213"" hostsystemmoid=""host-63"" meid=""vc-942ABEB2-CAD4-4B35-9EB2-9C23AC160FC1:vm-115"" instanceUuid=""5001d538-6778-1cea-7a30-7fb507ba2ab3"" uuid=""420173bf-75da-27f9-b236-f15d06a86d7a"" typeduipath=""/Folder:VL-VCENTER41/Folder:Folder above DC2/Datacenter:DC2/Folder:Folder below DC2/ClusterComputeResource:vl-vcenter41-esxi4.1cluster2/"" uipath=""/VL-VCENTER41/Folder above DC2/DC2/Folder below DC2/vl-vcenter41-esxi4.1cluster2/"" moid=""vm-115"" type=""VirtualMachine"" name=""winsv-neo2"" fa=""splunkvmwarefa""",VL-VCENTER41,vmware,EntityViews,vmware:hierarchy
"2012-05-30 02:47:16 UTC view=""Hosts and Clusters"" isvc=""true"" vc=""VL-VCENTER41"" path=""/VL-VCENTER41/Folder above DC2/DC2/Folder below DC2/vl-vcenter41-esxi4.1cluster2/Resources/"" Datacenter=""DC2"" Cluster=""vl-vcenter41-esxi4.1cluster2"" HostSystem=""10.160.14.52"" physicalhost=""10.160.14.52"" datacentermoid=""datacenter-71"" clustermoid=""domain-c213"" hostsystemmoid=""host-63"" meid=""vc-942ABEB2-CAD4-4B35-9EB2-9C23AC160FC1:vm-103"" instanceUuid=""502d6db8-4494-2935-c102-1d3c4298dcb4"" uuid=""422de491-ce6b-3381-67a8-af6d2704575f"" typeduipath=""/Folder:VL-VCENTER41/Folder:Folder above DC2/Datacenter:DC2/Folder:Folder below DC2/ClusterComputeResource:vl-vcenter41-esxi4.1cluster2/"" uipath=""/VL-VCENTER41/Folder above DC2/DC2/Folder below DC2/vl-vcenter41-esxi4.1cluster2/"" moid=""vm-103"" type=""VirtualMachine"" name=""RR_orphaned_vm"" fa=""splunkvmwarefa""",VL-VCENTER41,vmware,EntityViews,vmware:hierarchy
